CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESV07103419,959800S2JSER8AH0NB81,"PREVISION BALEAR, MUTUALIDAD DE PREVISIÓN SOCIAL A PRIMA FIJA","CL GREMI SABATERS 68, 07009, PALMA DE MALLORCA",compuestos,,"P3132"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESV28230688,95980020140005949672,"PREVISION SANITARIA NACIONAL, P.S.N. MUTUA DE SEGUROS Y REASEGUROS A PRIMA FIJA","VILLANUEVA 11, 28001, MADRID",compuestos,,"M0377"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESV58782145,959800CDBSAZ8A8EAA49,"PREVISORA GENERAL, MUTUALIDAD DE PREVISIÓN SOCIAL","AUSIÁS MARC 117-119, 08013, BARCELONA",compuestos,,"P3162"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESV84283837,959800V6BG2CL4F01W29,"PURISIMA CONCEPCION, MUTUALIDAD DE PREVISION SOCIAL","CALLE AUGUSTO FIGUEROA 3, 28004, MADRID",no-vida,,"P3158"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESI18447234,,"QBE EUROPE SA/NV SUCURSAL ESPAÑA","Pº DE LA CASTELLANA 31-, 28046, MADRID",no-vida,BE0690537456,"E0230"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESA78490539,959800Q2XAL8AEV6GW25,"RACE  SEGUROS Y REASEGUROS, S.A.","CL ISAAC NEWTON 4, 28760, TRES CANTOS",no-vida,,"C0631"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESA78520293,959800EP5G0Z0WB69H19,"REALE SEGUROS GENERALES, S.A.","C/ Príncipe de Vergara 125, 28002, MADRID",no-vida,,"C0613"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ESA85877066,9598005J5T59ESVVUK27,"REALE VIDA Y PENSIONES, SOCIEDAD ANÓNIMA DE SEGUROS","C/ Príncipe de Vergara 125, 28002, Madrid",vida,,"C0784"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESW0010878G,,"RELYENS MUTUAL INSURANCE SUCURSAL EN ESPAÑA","PASEO DE LA CASTELLANA 110, 28046, MADRID",no-vida,FR779860881,"E0220"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
ESW0309779G,894500I02IILXXF0JB05,"REVO INSURANCE S.P.A. SUCURSAL EN ESPAÑA","CL SERRANO, 105, 28006, MADRID",no-vida,IT0003085801332,"E0259"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESW0071890H,,"RGA INTERNATIONAL REINSURANCE COMPANY DAC SUC.EN ESPAÑA","Paseo de Recoletos 16, 28001, Madrid",reaseguros,IEC38002,"E0178"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESA78229663,549300MM3UXDG166HO10,"RGA RURAL VIDA, S.A. DE SEGUROS Y REASEGUROS","CL BASAURI 14, 28023, MADRID",vida,,"C0595"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESA78524683,959800F9CLS1CQKUH255,"RGA SEGUROS GENERALES RURAL, S.A. DE SEGUROS Y REASEGUROS","CL BASAURI 14, 28023, MADRID",no-vida,,"C0616"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESA33603168,959800Q0TB4YW3WZWX61,"SALUS ASISTENCIA SANITARIA, S.A. DE SEGUROS","CL POSADA HERRERA 1-BIS, 33002, OVIEDO",no-vida,,"C0448"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ESA28037042,959800J2A2QS6C0ANF48,"SANITAS, SOCIEDAD ANONIMA DE SEGUROS.","CL RIBERA DEL LOIRA 52, 28042, MADRID",no-vida,,"C0320"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESA28039790,95980020140005220232,"SANTA LUCIA, S.A. COMPAÑIA DE SEGUROS Y REASEGUROS","Plaza de España 15, 28008, MADRID",compuestos,,"C0174"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ESA86588050,959800DGNJ1GACEM9J49,"SANTANDER GENERALES SEGUROS Y REASEGUROS, S.A.","Avda. de Cantabria s/n, 28660, Boadilla del Monte",no-vida,,"C0796"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ESA88256714,959800UUFFK59MW8AU78,"SANTANDER MAPFRE SEGUROS Y REASEGUROS, S.A.","CARRETERA DE POZUELO 50, 28222, MAJADAHONDA",no-vida,,"C0806"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
ESA46003273,95980020140005490280,"SANTANDER SEGUROS Y REASEGUROS, COMPAÑIA ASEGURADORA, S.A.","Av CANTABRIA S/N, 28660, BOADILLA DEL MONTE",compuestos,,"C0037"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESA86588068,959800TNUM2TV0D7HB66,"SANTANDER VIDA SEGUROS Y REASEGUROS, S.A.","AVDA. DE CANTABRIA S/N, 28660, BOADILLA DEL MONTE",compuestos,,"C0795"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ESW2502785E,,"SCOR SE SUC. ESPAÑA","P º DE LA CASTELLANA 135 135, 28046, MADRID",reaseguros,FR562033357,"E0239"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESA28011864,95980020140005025553,"SEGURCAIXA ADESLAS, SOCIEDAD ANONIMA DE SEGUROS Y REASEGUROS","PASEO DE LA CASTELLANA 259, 28046, Madrid",no-vida,,"C0124"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESA79346839,95980020140005220329,"SEGUROS EL CORTE INGLES, VIDA, PENSIONES Y REASEGUROS, S.A.","CL  HERMOSILLA 112, 28009, MADRID",compuestos,,"C0697"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ESA20182705,95980020140005639078,"SEGUROS LAGUN ARO VIDA, S.A.","CL CAPUCHINOS DE BASURTO 6-2º, 48013, BILBAO",vida,,"C0683"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
ESA20079224,95980020140005638981,"SEGUROS LAGUN ARO, S.A.","CL CAPUCHINOS DE BASURTO 6-2º, 48013, BILBAO",no-vida,,"C0572"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESW0186505D,,"SI INSURANCE (EUROPE), SA SUC. ESPAÑA","AV DIAGONAL 407 BIS 407, 08008, BARCELONA",no-vida,LURCSB0221096,"E0229"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
ESV46017091,959800LWDTC5CATARP57,"SOCIEDAD DE SEGUROS MUTUOS CONTRA INCENDIOS DE EDIFICIOS DE VALENCIA, MUTUA A FIJA","PZ MANISES 2-1º, 46003, VALENCIA",no-vida,,"M0189"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESV36606184,9598002KCBN6L75BBN81,"SOCIEDAD DE SEGUROS MUTUOS MARITIMOS DE VIGO, MUTUA DE SEGUROS Y REASEGUROS","EDIFICIO VIRXE DO CARME 1º, 36202, VIGO",no-vida,,"M0212"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESV08385353,,"SOCIETAT DE SOCORS MUTUS DE MOLLET, MPS, A PRIMA FIXA","CL SANT LLORENÇ, 42-46, 08100, MOLLET DEL VALLES",no-vida,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESV45000734,959800NDN7XMBQF41T29,"SOLISS MUTUA DE SEGUROS","CL CUESTA DEL AGUILA 5, 45001, TOLEDO",no-vida,,"M0191"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESA28761591,959800LM5VB6ST5FT348,"SOLUNION SEGUROS, COMPAÑÍA INTERNACIONAL DE SEGUROS Y REASEGUROS, S.A.","AVDA. GENERAL PERÓN 40-3ª, 28020, Madrid",no-vida,,"C0571"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESW0462103C,,"STARR EUROPE INSURANCE LIMITED, SUCURSAL EN ESPAÑA","ROSARIO PINO 14-16, 28020, MADRID",no-vida,MTA180744,"E0244"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESV48083521,95980020140005539168,"SVRNE, MUTUA DE SEGUROS Y REASEGUROS A PRIMA FIJA","CL CARDENAL GARDOQUI 1, 48008, BILBAO",compuestos,,"M0378"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESW0181839B,,"SWISS RE EUROPE S.A SUC.ESPAÑA","Pº CASTELLANA 95., 28046, MADRID",reaseguros,LURCSB0025242,"E0179"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESW0184229C,,"SWISS RE INTERNATIONAL SE SUCURSAL EN ESPAÑA","Pº DE LA CASTELLANA 95-PL.11, 28046, MADID",no-vida,LURCSB0134553,"E0216"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
ESA05362645,9598007JVRJB5K2D6411,"TELEFONICA SEGUROS Y REASEGUROS COMPAÑÍA ASEGURADORA SAU","RONDA DE LA COMUNICACIÓN 3ª, 28050, MADRID",no-vida,,"C0810"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ESE0236,,"TOKIO MARINE EUROPE S.A, SUC. ESPAÑA","TORRE DIAGONAL MAR  JOSEP PLA 2 2, 08019, BARCELONA",no-vida,LURCSB0221975,"E0236"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
ESG28747574,959800QB0VW0VDWRKY92,"UMAS, UNION MUTUA ASISTENCIAL DE SEGUROS A PRIMA FIJA","CL STA ENGRACIA 10-12, 28010, MADRID",no-vida,,"M0363"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESA78804390,95980020140005765857,"UNICORP VIDA, COMPAÑIA DE SEGUROS Y REASEGUROS, S.A.","CL LA BOLSA 4, 29015, MALAGA",compuestos,,"C0637"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESV08901845,95980039EFPMNY2T8Z76,"UNIÓ DE GERMANDATS DE PREVISIÓ SOCIAL DE PARETS DEL VALLÈS, M.P.S. A PRIMA FIXA","AVINGUDA LLUÍS COMPANYS, 2, 08150, PARETS DEL VALLES",no-vida,,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ESA37042975,959800TVSW6CRNDBKA48,"UNION DEL DUERO, COMPAÑIA DE SEGUROS DE VIDA, S.A.","CAMINO FUENTE DE LA MORA 5, 28050, MADRID",vida,,"C0601"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESV28029023,959800J4DQRD7XWHNM06,"UNION ESPAÑOLA DE CONDUCTORES DE AUTOMOVILES, MUTUALIDAD DE PREVISION SOCIAL A PRIMA FIJA","C/ Hortaleza 65, 28004, MADRID",compuestos,,"P0285"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESA08169609,959800H5T5F7W8DPCK13,"UNION MEDICA LA FUENCISLA, S.A. COMPAÑIA DE SEGUROS.","Av María Zambrano 31, 50018, ZARAGOZA",no-vida,,"C0208"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
ESA85078301,959800QBEU7YWZDTYX64,"VERTI ASEGURADORA, COMPAÑÍA DE SEGUROS Y REASEGUROS, S.A.","CALLE MARÍA TUBAU 10 10,, 28050, Madrid",no-vida,,"C0785"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ESA58333261,95980020140005337796,"VIDA-CAIXA, SOCIEDAD ANÓNIMA DE SEGUROS Y REASEGUROS","PASEO DE LA CASTELLANA 189, 28046, MADRID",compuestos,,"C0611"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
