CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,TIPO DE SEGURO,ENTIDAD MATRIZ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLIC0053,259400OXGGIASU8WOO21,"TUW POLSKI ZAKŁAD UBEZPIECZEŃ WZAJEMNYCH","Rondo Ignacego Daszyńskiego 4, 00-84, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLIC0022,259400OH5X7X6KCKRD96,"TUW REJENT-LIFE","ul. Mostowa 19C/6, 61-85, Poznań",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PLIC0056,259400XFHD3AZH1D8X35,"TUW TUW","ul. Raabego 13, 02-79, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLIC0036,259400VVKIW59B74SL60,"TUW- CUPRUM","ul. M. Skłodowskiej-Curie 82, 59-30, Lubin",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
PLIC0057,259400DTQXBX78Q0IW12,"TUZ Ubezpieczenia TU S.A.","ul. Domaniewska 41, 02-67, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PLIC0004,259400FX3J0R7A6MU186,"UNIQA TU na ŻYCIE S.A.","ul. Chłodna 51, 00-86, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
PLIC0031,259400NNS5ISLPJP7921,"UNIQA TU S.A.","ul. Chłodna 51, 00-86, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PLIC0020,259400UXP7KU8JKU2J72,"UNUM ŻYCIE TUiR S.A.","al. Jana Pawła II 17, 00-85, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLIC000096,,"VEREINIGTE HAGELVERSICHERUNG VVAG TOWARZYSTWO UBEZPIECZEŃ WZAJEMNYCH ODDZIAŁ W POLSCE","ul. Grunwaldzka 186, 60-16, Poznań",no-vida,DEAIOTE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
PLIC0007,259400JP02FIWJVBWH48,"VIENNA LIFE TU na ŻYCIE S.A. Vienna Insurance Group","Al. Jerozolimskie 162, 02-34, Warszawa",vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PLIC0103,259400E1OPER70XX5R74,"ZÜRICH VERSICHERUNGS-AKTIENGESELLSCHAFT (SPÓŁKA AKCYJNA) ODDZIAŁ W POLSCE","ul. Grzybowska 2/29, 00-13, Warszawa",no-vida,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
